1,137413.02416992188,2.290217069498698,0.5911466889991743s
2,135708.54034423828,2.261809005737305,0.614488705000781s
3,128120.13717651367,2.1353356196085613,0.6022186409999222s
4,88198.61932373047,1.4699769887288412,0.6065873529998953s
5,47978.32150268555,0.7996386917114258,0.6291760260002093s
6,36300.0950088501,0.605001583480835,0.6371131919993331s
7,30332.70733642578,0.505545122273763,0.6163799879993803s
8,26723.923461914062,0.44539872436523437,0.6117630270005066s
9,24051.338401794434,0.4008556400299072,0.5998736550009198s
10,22344.890872955322,0.3724148478825887,0.6162002800004984s
11,21187.41949081421,0.35312365818023683,0.606102575999671s
12,20098.51734161377,0.33497528902689616,0.6187413730000344s
13,19354.452396392822,0.32257420660654706,0.6110128210003722s
14,18642.265510559082,0.3107044251759847,0.6183939670007703s
15,18004.160312652588,0.3000693385442098,0.6055408759997363s
16,17403.326503753662,0.2900554417292277,0.6176060769996639s
17,16852.066215515137,0.2808677702585856,0.5912807300002214s
18,16252.078720092773,0.2708679786682129,0.6162891089998084s
19,15706.076522827148,0.2617679420471191,0.6185962880008447s
20,15168.536315917969,0.2528089385986328,0.6124155649994236s
